step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
426,3,33.333333333333336,0.24242424242424232,0,0,0
427,3,33.333333333333336,0.24242424242424232,0,0,0
428,3,33.333333333333336,0.24242424242424232,0,0,0
429,3,33.333333333333336,0.24242424242424232,0,0,0
430,3,33.333333333333336,0.24242424242424232,0,0,0
431,3,33.333333333333336,0.24242424242424232,0,0,0
432,3,33.333333333333336,0.24242424242424232,0,0,0
433,3,33.333333333333336,0.24242424242424232,0,0,0
434,3,33.333333333333336,0.24242424242424232,0,0,0
435,3,33.333333333333336,0.24242424242424232,0,0,0
436,3,33.333333333333336,0.24242424242424232,0,0,0
437,3,33.333333333333336,0.24242424242424232,0,0,0
438,3,33.333333333333336,0.24242424242424232,0,0,0
439,3,33.333333333333336,0.24242424242424232,0,0,0
440,3,33.333333333333336,0.24242424242424232,0,0,0
441,3,33.333333333333336,0.24242424242424232,0,0,0
442,3,33.333333333333336,0.24242424242424232,0,0,0
443,3,33.333333333333336,0.24242424242424232,0,0,0
444,3,33.333333333333336,0.24242424242424232,0,0,0
445,3,33.333333333333336,0.24242424242424232,0,0,0
446,3,33.333333333333336,0.24242424242424232,0,0,0
447,3,33.333333333333336,0.24242424242424232,0,0,0
448,3,33.333333333333336,0.24242424242424232,0,0,0
449,3,33.333333333333336,0.24242424242424232,0,0,0
450,3,33.333333333333336,0.24242424242424232,0,0,0
451,3,33.333333333333336,0.24242424242424232,0,0,0
452,3,33.333333333333336,0.24242424242424232,0,0,0
453,3,33.333333333333336,0.24242424242424232,0,0,0
454,3,33.333333333333336,0.24242424242424232,0,0,0
455,3,33.333333333333336,0.24242424242424232,0,0,0
456,3,33.333333333333336,0.24242424242424232,0,0,0
457,3,33.333333333333336,0.24242424242424232,0,0,0
458,3,33.333333333333336,0.24242424242424232,0,0,0
459,3,33.333333333333336,0.24242424242424232,0,0,0
460,3,33.333333333333336,0.24242424242424232,0,0,0
461,3,33.333333333333336,0.24242424242424232,0,0,0
462,3,33.333333333333336,0.24242424242424232,0,0,0
463,3,33.333333333333336,0.24242424242424232,0,0,0
464,3,33.333333333333336,0.24242424242424232,0,0,0
465,3,33.333333333333336,0.24242424242424232,0,0,0
466,3,33.333333333333336,0.24242424242424232,0,0,0
467,3,33.333333333333336,0.24242424242424232,0,0,0
468,3,33.333333333333336,0.24242424242424232,0,0,0
469,3,33.333333333333336,0.24242424242424232,0,0,0
470,3,33.333333333333336,0.24242424242424232,0,0,0
471,3,33.333333333333336,0.24242424242424232,0,0,0
472,3,33.333333333333336,0.24242424242424232,0,0,0
473,3,33.333333333333336,0.24242424242424232,0,0,0
474,3,33.333333333333336,0.24242424242424232,0,0,0
475,3,33.333333333333336,0.24242424242424232,0,0,0
476,3,33.333333333333336,0.24242424242424232,0,0,0
477,3,33.333333333333336,0.24242424242424232,0,0,0
478,3,33.333333333333336,0.24242424242424232,0,0,0
479,3,33.333333333333336,0.24242424242424232,0,0,0
480,3,33.333333333333336,0.24242424242424232,0,0,0
481,3,33.333333333333336,0.24242424242424232,0,0,0
482,3,33.333333333333336,0.24242424242424232,0,0,0
483,3,33.333333333333336,0.24242424242424232,0,0,0
484,3,33.333333333333336,0.24242424242424232,0,0,0
485,3,33.333333333333336,0.24242424242424232,0,0,0
486,3,33.333333333333336,0.24242424242424232,0,0,0
487,3,33.333333333333336,0.24242424242424232,0,0,0
488,3,33.333333333333336,0.24242424242424232,0,0,0
489,3,33.333333333333336,0.24242424242424232,0,0,0
490,3,33.333333333333336,0.24242424242424232,0,0,0
